name,code
amazing,5
awesome,5
best,5
excellent,5
great,5
a lot,3
big,3
celebrity,3
costly,3
delight,3
deluxe,3
esteem,3
extreme,3
extremely,3
expensive,3
extravagance,3
fancy,3
exclusive,3
fine,3
gourmet,3
high,3
highly,3
huge,3
lavish,3
lots,3
luxury,3
many,3
over priced,3
premium,3
prestige,3
pricey,3
richness,3
rip-off,3
top,3
upper class,3
upscale,3
acceptable,2
anything,2
average,2
boilerplate,2
common,2
fair,2
general,2
a good,5
good,5
pretty good,5
very good,5
mean,2
mediocre,2
medium,2
mid,2
moderate,2
neutral,2
normal,2
reasonable,2
regular,2
so-so,2
standard,2
typical,2
usual,2
bad,1
bargain,1
basic,1
budget,1
careful,1
casual,1
cautious,1
cheap,1
comfortable,1
competitive,1
cost-effective,1
cut,1
easy,1
economical,1
few,1
half,1
inexpensive,1
less,1
little,1
low,1
minimal,1
modest,1
ordinary,1
penny,1
poor,1
practical,1
prudent,1
sale,1
saving,1
simple,1
small,1
thrifty,1
uncostly,1
absolutely,0
according,0
account,0
acquired,0
actually,0
always,0
amount,0
another,0
approach,0
area,0
argue,0
around,0
ask,0
asked,0
atmosphere,0
attentive,0
awareness,0
away,0
back,0
bar,0
because,0
believe,0
better,0
bit,0
blue,0
blur,0
bowl,0
breakfast,0
broom,0
brunch,0
busy,0
came,0
change,0
charge,0
charged,0
charges,0
charging,0
check,0
chicken,0
clarify,0
class,0
Cleveland,0
come,0
coming,0
cool,0
cost,0
costing,0
craft,0
creation,0
decide,0
definitely,0
delicious,0
different,0
dine,0
dining,0
dinner,0
dish,0
dishes,0
drink,0
drinks,0
eat,0
engaged,0
enjoy,0
enough,0
evaluated,0
even,0
ever,0
everything,0
expected,0
expedition,0
experience,0
familiarity,0
family,0
fantastic,0
fast,0
favorite,0
feel,0
find,0
first,0
flavor,0
flower,0
food,0
fresh,0
friend,0
friendly,0
full,0
fun,0
get,0
give,0
going,0
grow,0
happy,0
hello,0
home,0
hot,0
husband,0
Im,0
inside,0
instrumental,0
items,0
Ive,0
James,0
journey,0
kind,0
know,0
Knowledge,0
last,0
left,0
level,0
like,0
limited,0
lion,0
looking,0
love,0
Ludwig,0
lunch,0
make,0
manager,0
meal,0
mental,0
minutes,0
money,0
moon,0
morning,0
movie,0
music,0
nasty,0
need,0
never,0
new,0
next,0
nice,0
night,0
ocean,0
one,0
open,0
options,0
order,0
outside,0
parking,0
pay,0
paying,0
payment,0
perfect,0
philosophy,0
place,0
places,0
pretty,0
price,0
priced,0
pricing,0
quality,0
quick,0
rank,0
ranked,0
ranking,0
rated,0
rating,0
really,0
recommend,0
restaurant,0
restaurants,0
right,0
room,0
said,0
salad,0
say,0
score,0
seated,0
see,0
select,0
served,0
Service,0
side,0
since,0
skills,0
sky,0
slow,0
small,0
someone ,0
something,0
soup,0
sources,0
speak,0
special,0
spend,0
spending,0
spicy,0
spot,0
stars,0
state,0
steak,0
still,0
stop,0
study,0
stuff,0
summer,0
super,0
sure,0
table,0
tables,0
take,0
task,0
taste,0
tasted,0
tasty,0
theoretical,0
thing,0
things,0
think,0
thought,0
told,0
took,0
top,0
town,0
tried,0
try,0
two,0
understanding,0
visit,0
waiter,0
want,0
way,0
well,0
went,0
why,0
winter,0
wonderful,0
work,0
years,0
Italian,0
italian,0
german,0
American,0
",",100
and,100
with,100
but,100
while,100
between,100
important,200
care,200
need,200
concerned,200
concern,200
meaningful,200
critical,200
crucial,200
big deal,200
issue,200
significant,200
relevant,200
necessary,200
paramount,200
imperative,200
urgent,200
first choice,200
vital,200
central,200
primary,200
primal,200
main,200
elementary,200
dominant,200
essential,200
fundemental,200
matters,200
matter,200
not,300
no,300
am,300
