name,code,value_code,value_name,Unnamed: 4,Unnamed: 5
garage,19,,,,
lot,19,,,,
parking,19,,,,
parking lot,19,,,,
open-air,17,,,,
outside,17,,,,
outside seating,17,,,,
outdoor,17,,,,
outdoors,17,,,,
internet,15,,,,
online,15,,,,
wifi,15,,,,
WiFi,15,,,,
charming,13,,,,
dating,13,,,,
dreamy,13,,,,
intimate,13,,,,
romantic,13,,,,
families,11,,,,
family,11,,,,
kids,11,,,,
children,11,,,,
vegan,10,,,,
vegeterian,10,,,,
veggy,10,,,,
restaurant,5,500.0,restaurant,,
cafe,5,502.0,cafe,,
coffee,5,502.0,cafe,,
café,5,502.0,cafe,,
coffee place,5,502.0,cafe,,
coffee and tea,5,502.0,cafe,,
tea,5,502.0,cafe,,
cafeteria,5,502.0,cafe,,
latte,5,502.0,cafe,,
mocha,5,502.0,cafe,,
espresso,5,502.0,cafe,,
pizza,5,503.0,pizza,,
pizzeria,5,503.0,pizza,,
pizza place,5,503.0,pizza,,
bar,5,506.0,bar,,
sports bar,5,506.0,bar,,
pub,5,506.0,bar,,
saloon,5,506.0,bar,,
beer,5,506.0,bar,,
wine,5,506.0,bar,,
beer bar,5,506.0,bar,,
dive bar,5,506.0,bar,,
gastropub,5,506.0,bar,,
beer and wine,5,506.0,bar,,
cocktail bar,5,506.0,bar,,
lounge,5,506.0,bar,,
wine & spirits,5,506.0,bar,,
spirits,5,506.0,bar,,
liquor,5,506.0,bar,,
margherita,5,506.0,bar,,
alcohol,5,506.0,bar,,
alcoholic,5,506.0,bar,,
margarita,5,506.0,bar,,
martini,5,506.0,bar,,
mojito,5,506.0,bar,,
whiskey ,5,506.0,bar,,
spritz,5,506.0,bar,,
brandy,5,506.0,bar,,
cognac,5,506.0,bar,,
rum,5,506.0,bar,,
gin,5,506.0,bar,,
champagne,5,506.0,bar,,
Vietnamese,4,401.0,Vietnamese,,
Vietnam,4,401.0,Vietnamese,,
vietnam,4,401.0,Vietnamese,,
vietnamese,4,401.0,Vietnamese,,
Hanoi,4,401.0,Vietnamese,,
hanoi,4,401.0,Vietnamese,,
Thai,4,402.0,Thai,,
Thailand,4,402.0,Thai,,
thai,4,402.0,Thai,,
thailand,4,402.0,Thai,,
Bangkok,4,402.0,Thai,,
bangkok,4,402.0,Thai,,
Mexican,4,403.0,Mexican,,
Mexico,4,403.0,Mexican,,
mexican,4,403.0,Mexican,,
mexico,4,403.0,Mexican,,
Mexico,4,403.0,Mexican,,
Mexico City,4,403.0,Mexican,,
mexico,4,403.0,Mexican,,
mexico city,4,403.0,Mexican,,
Mediterranean,4,404.0,Mediterranean,,
Middle-eastern,4,404.0,Mediterranean,,
Israeli,4,404.0,Mediterranean,,
Tunisia,4,404.0,Mediterranean,,
Turkey,4,404.0,Mediterranean,,
Turkish,4,404.0,Mediterranean,,
Egypt,4,404.0,Mediterranean,,
Cyprus,4,404.0,Mediterranean,,
Lebanon,4,404.0,Mediterranean,,
mediterranean,4,404.0,Mediterranean,,
middle-eastern,4,404.0,Mediterranean,,
israeli,4,404.0,Mediterranean,,
tunisia,4,404.0,Mediterranean,,
turkey,4,404.0,Mediterranean,,
turkish,4,404.0,Mediterranean,,
egypt,4,404.0,Mediterranean,,
cyprus,4,404.0,Mediterranean,,
lebanon,4,404.0,Mediterranean,,
Amman,4,404.0,Mediterranean,,
Arab,4,404.0,Mediterranean,,
Arabic,4,404.0,Mediterranean,,
Bagdad,4,404.0,Mediterranean,,
Bagdadi,4,404.0,Mediterranean,,
Beirut,4,404.0,Mediterranean,,
Cairo,4,404.0,Mediterranean,,
Damascus,4,404.0,Mediterranean,,
Dubai,4,404.0,Mediterranean,,
Egyptian,4,404.0,Mediterranean,,
Georgia,4,404.0,Mediterranean,,
Georgian,4,404.0,Mediterranean,,
Iran,4,404.0,Mediterranean,,
Iranian,4,404.0,Mediterranean,,
Iraq,4,404.0,Mediterranean,,
Iraqi,4,404.0,Mediterranean,,
Istanbul,4,404.0,Mediterranean,,
Jerusalem,4,404.0,Mediterranean,,
Kurdish,4,404.0,Mediterranean,,
Lebanese,4,404.0,Mediterranean,,
Morocco,4,404.0,Mediterranean,,
Moroccoan,4,404.0,Mediterranean,,
Persian,4,404.0,Mediterranean,,
Saudi,4,404.0,Mediterranean,,
Saudi-Arabia,4,404.0,Mediterranean,,
Tel-aviv,4,404.0,Mediterranean,,
amman,4,404.0,Mediterranean,,
arab,4,404.0,Mediterranean,,
arabic,4,404.0,Mediterranean,,
bagdad,4,404.0,Mediterranean,,
bagdadi,4,404.0,Mediterranean,,
beirut,4,404.0,Mediterranean,,
cairo,4,404.0,Mediterranean,,
damascus,4,404.0,Mediterranean,,
dubai,4,404.0,Mediterranean,,
egyptian,4,404.0,Mediterranean,,
georgia,4,404.0,Mediterranean,,
georgian,4,404.0,Mediterranean,,
iran,4,404.0,Mediterranean,,
iranian,4,404.0,Mediterranean,,
iraq,4,404.0,Mediterranean,,
iraqi,4,404.0,Mediterranean,,
istanbul,4,404.0,Mediterranean,,
jerusalem,4,404.0,Mediterranean,,
kurdish,4,404.0,Mediterranean,,
lebanese,4,404.0,Mediterranean,,
