name,address,latitude,longitude,price,stars,business_type,kitchen_type,veggy,GoodForKids,RestaurantsDelivery,WiFi,Alcohol,OutdoorSeating,breakfast,brunch,lunch,dinner,dessert,latenight,romantic,upscale,casual,trendy,classy,review_count,parking,Sunday_open,Sunday_close,Monday_open,Monday_close,Tuesday_open,Tuesday_close,Wednesday_open,Wednesday_close,Thursday_open,Thursday_close,Friday_open,Friday_close,Saturday_open,Saturday_close
Pho Lee's Vietnamese Restaurant,"1541 E 38th St, Ste 101",41.512155299999996,-81.663332,,4.5,other,Vietnamese,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23,False,11:00:00,20:00:00,11:00:00,20:00:00,,,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00
Wendy's,4602 Northfield Road,41.434614,-81.5270257,1,3.5,Fast Food,other,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00
Hingetown,,41.48934281,-81.7110287,4,3.0,Cafe,other,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4,False,,,,,,,,,,,,,,
Dominic's Santos,21467 Lorain Rd,41.4436519,-81.8581755,2,3.5,Pizza,American,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,40,True,,,,,,,,,,,,,,
Fratello's Deli,"1111 Superior Ave E, Ste 2",41.503602,-81.6869213,1,3.5,Delis,other,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7,False,,,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,,
Herb 'n Twine,4309 Lorain Ave,41.47927644,-81.71587515,2,4.5,Sandwiches,other,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,166,True,,,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00
Iron City Cafe,4002 Jennings Rd,41.4474028,-81.6882012,1,4.5,Pizza,American,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,3,False,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00
Adam's Place,681 E 200th St,41.587582,-81.53983000000001,1,4.0,Sandwiches,American,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,True,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00
Public House,17219 Lorain Ave,41.449926700000006,-81.81726979999999,2,3.5,Bar,other,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,28,True,,,,,,,,,,,,,,
Lydia's Hungarian Strudel Shop,6230 Stumph Rd,41.3941178,-81.7705452,2,5.0,Bakeries,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,,,,,,,,,,,,,,
Chipotle Mexican Grill,16729 Lorain Ave,41.45024886,-81.8140882,1,2.5,Fast Food,Mexican,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,48,True,10:45:00,22:00:00,10:45:00,22:00:00,10:45:00,22:00:00,10:45:00,22:00:00,10:45:00,22:00:00,10:45:00,22:00:00,10:45:00,22:00:00
Best Steak & Gyros House,13620 Euclid Ave,41.5242028,-81.58770290000001,2,3.0,other,other,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,,,,,,,,,,,,,,
Food On the Move,14034 Saint Clair Ave,41.5499237,-81.5839978,,1.5,other,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,,,,,,,,,,,,,,
Faith Sung Inc Dba Asian Kitchen,1301 E 9th St,41.5049336,-81.6895088,1,4.0,other,Chinese,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,False,,,,,,,,,,,,,,
Ginko Restaurant,2247 Professor Ave,41.481615399999995,-81.686368,3,4.5,Bar,Japanese,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,287,False,,,,,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,0:00:00,16:30:00,0:00:00
Barrio,527 Prospect Ave,41.49840583,-81.68932227,2,4.0,Bar,Mexican,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,True,560,True,11:00:00,2:00:00,16:00:00,2:00:00,16:00:00,2:00:00,16:00:00,2:00:00,16:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00
Hemispheres,5300 Riverside Dr,41.410962,-81.83362070000001,2,3.0,other,American,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17,False,,,,,,,,,,,,,,
Popeyes Louisiana Kitchen,7020 Carnegie Ave,41.50137842,-81.63979300000001,1,2.5,Fast Food,American,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20,False,10:30:00,22:00:00,10:30:00,23:00:00,10:30:00,23:00:00,10:30:00,23:00:00,10:30:00,23:00:00,10:30:00,23:00:00,10:30:00,23:00:00
Harvard Deli,14716 Harvard Ave,41.4490716,-81.5779458,1,4.0,Delis,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,,,,,,,,,,,,,,
The Spotted Dog,9617 Clinton Rd,41.4507823,-81.75114140000001,1,4.0,Sandwiches,other,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,False,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00
Chicago’s Home of Chicken & Waffles,1144 Prospect Ave E,41.499168,-81.682721,2,3.5,Bar,other,False,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,220,True,9:00:00,22:00:00,,,9:00:00,22:00:00,9:00:00,22:00:00,9:00:00,2:00:00,9:00:00,0:00:00,9:00:00,0:00:00
